group_code,breeder,breeder_cross_code,eval_cat,Concept,Funding,state,Fruit count,Fruit Load,harvest_date,tray_number,fruit_left,fruit_harvested,All trays Quanity,total thrown,# rots thrown (12wk?),# softs thown (12wks?),Date,ave_frtWgt_harvest,fruitCount_total,failed_thrshld,breeder_response,ave_frtWgt_total,data_type,harvest_brix,harvest_dm,Sensory  Dry Matter (%),storage_week_due,sensory_week_due,coolstore_removal_date,days_ripen,primary_shape,taste_done,sensory_firmness,sensory_brix,storage1_date,storage1_week,storage1_firmness,last_storage_date,last_storage_week,last_storage_firmness,post_harvest_state,Sensory Brix (SSC) - Combined,Sensory Brix (SSC) - Stem,Sensory Brix (SSC) - Stylar,Sensory Chroma-C,Sensory Chroma-H,Sensory Chroma-L,Sensory Days to Ripen,Sensory FF Flat (kgf) Fruit Firmness,Sensory FF Flat (kgf) Fruit Firmness - Core,Sensory Fruit Diameter Maximum (mm),Sensory Fruit Diameter Minimum (mm),Sensory Fruit Diameter Ratio,Sensory Fruit Length (mm),Sensory Core Cavity,Sensory Core Colour,Sensory Core Firmness,Sensory Core Size,Sensory Cross Section,Sensory Hair Removability,Sensory Lenticels,Sensory Primary Shape,Sensory  Red FAST-Intensity Outer,Sensory  Red FAST-Intesity Inner,Sensory  Red FAST-Red Equatorial Spread,Sensory  Red Longitudinal Spread,Sensory  Sample size,Sensory Secondary Shape,Sensory Shoulder Shape,Sensory Skin Hairiness,Sensory Stylar Cavity External,Sensory Stylar Cavity Internal,Sensory Stylar End Shape,Sensory Woody Plug,Date1,Taster 1,O/A 1,Sweetness 1,Acid 1,Texture 1,Juiciness 1,Intensity 1,Duration 1,Core 1,Ripeness 1,retaste 1,SensoryComments1,Date2,Taster 2,O/A 2,Sweetness 2,Acid 2,Texture 2,Juiciness 2,Intensity 2,Duration 2,Core 2,Ripeness 2,retaste 2,SensoryComments2,Date3,Taster 3,O/A 3,Sweetness 3,Acid 3,Texture 3,Juiciness 3,Intensity 3,Duration 3,Core 3,Ripeness 3,retaste 3,SensoryComments3,Date4,Taster 4,O/A 4,Sweetness 4,Acid 4,Texture 4,Juiciness 4,Intensity 4,Duratioin 4,Core 4,Ripeness 4,retaste 4,SensoryComments4,Date5,Taster 5,O/A 5,Sweetness 5,Acid 5,Texture 5,Juiciness 5,Intensity 5,Duration 5,Core 5,Ripeness 5,retaste 5,SensoryComments5,Date6,Taster 6,O/A 6,Sweetness 6,Acid 6,Texture 6,Juiciness 6,Intensity 6,Duration 6,Core 6,Ripeness 6,retaste 6,SensoryComments6,Date7,Taster 7,O/A 7,Sweetness 7,Acid 7,Texture 7,Juiciness 7,Intensity 7,Duration 7,Core 7,Ripeness 7,retaste 7,Taster 8,SensoryComments7,Date8,O/A 8,Sweetness 8,Acid 8,Texture 8,Juiciness 8,Intensity 8,Duration 8,Core 8,Ripeness 8,retaste 8,SensoryComments8
K10.01-01-01b,EP,ZI83,ZG_EP,Green,Commercial,Culled,25,2,14/06/2016,1609588,18,18,,,,,,126.67,25,Dry Matter (%),Cull,132.88,Destructive,7.9,16.9,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-01d,EP,ZI83,ZG_EP,Green,Commercial,Culled,22,2,14/06/2016,1609591,3,15,8,,,,,106,20,Dry Matter (%),Keep,107.75,Destructive,5.3,16.2,,,,4/10/2016,16.4,Globose,,0.59,13.21,21/09/2016,14,1.59,,,,Finished,13.21,13.5,12.92,32.26,115.52,47.3,16.4,0.59,0,57.01,52.45,0.92,58.76,No Cavity,Gel discoloured/Cream,Moderately Firm,4,,Moderate,0,Globose,0,0,0,0,5,0,Rounded,0,1,0,Hollow with Raised,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-02f,EP,ZJ83,ZG_EP,Green,Commercial,Culled,31,3,14/06/2016,1609530,3,17,9,1,1,0,6-Sep-16,111.76,28,,,113.42,Destructive,5.7,17.05,,,,4/10/2016,8.5,Obovoid,YES,0.5,13.81,7/09/2016,12,0.96,,,,Finished,13.815,13.38,14.25,22.37,111.8,50.15,8.5,0.5,0,54.65,49.01,0.9,62.34,No Cavity,Gel discoloured/Cream,Moderately Firm,6,,Easy,0,Obovoid,0,0,0,0,4,0,Rounded,0,0,0,Hollow with Raised,1,13-Oct-16,hrktlt,5,6,6,5,3,Medium,Medium,Moderately Firm,Good,,"mild sweet-tang bland in flv, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-03e,EP,ZK83,ZG_EP,Green,Commercial,Culled,12,2,31/05/2016,1606809,4,8,4,,,,,135.65,10,,,135.65,Predicted,8.73,17.32750999,,,,,,,,,,25/08/2016,12,0.47,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-05e,EP,ZI44,ZG_EP,Green,Commercial,Culled,15,2,10/06/2016,1608718,2,9,6,1,0,1,29-Aug-16,89.23,12,Fruit Weight (g),Keep,92.62,Destructive,9.5,13.38,,,,23/09/2016,2.5,Globose,,0.37,12.78,31/08/2016,12,0.51,,,,Finished,12.775,12.05,13.5,25.92,112.53,45.75,2.5,0.37,0,53.53,44.22,0.83,59.67,No Cavity,Gel discoloured/Cream,No Dectectable Firmness,3,,Easy,0,Globose,0,0,0,0,2,0,Rounded,0,0,0,Flat,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-07c,EP,ZE44,ZG_EP,Green,Commercial,Culled,10,1,31/05/2016,1606814,2,10,7,,,,,105.81,10,,,105.81,Predicted,11.17,17.38931401,,,,1/09/2016,3.5,Globose,YES,0.58,16.17,25/08/2016,12,0.54,,,,Finished,16.165,16.1,16.23,31.49,114.58,47.61,3.5,0.58,0,53.3,47.51,0.89,61.92,No Cavity,White,Quite Hard to Firm,5,,Moderate,0,Globose,0,0,0,0,3,Obovoid,Rounded,0,1,0,Hollow,1,2-Sep-16,hrkark,7,7,6,6,3,High,Medium,Slightly Firm,Good,,"high-mod tropical sweet, some notes of passionfruit. nice",2-Sep-16,hrkmxp,6,6,6,7,3,Medium,Medium,No Dectectable Firmness,Good,,melon tropical sweet w mandarin/passionfruit tang txt creamy/melting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-07g,EP,ZE44,ZG_EP,Green,Commercial,Culled,40,3,10/06/2016,1608768,21,28,5,,,,,120.51,37,,,120.57,Destructive,9.03,19.22,,,,,,,,,,31/08/2016,12,0.47,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-07i,EP,ZE44,ZG_EP,Green,Commercial,Culled,6,1,10/06/2016,1608796,6,6,,,,,,84.1,6,Fruit Weight (g),End,84.1,Predicted,8.47,17.67326309,,,,,,,,,,,,,,,,Finished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-08e,EP,ZK83,ZG_EP,Green,Commercial,Culled,9,1,26/05/2016,1606380,2,7,5,,,,,109.99,7,,,109.99,Predicted,9.95,18.14127333,,,,29/08/2016,8.5,Oblong,YES,0.46,14.93,17/08/2016,12,0.78,,,,Finished,14.925,15.1,14.75,30.86,111.81,52.18,8.5,0.46,0,55.91,50.58,0.91,72.57,No Cavity,White,Slightly Firm,4,,Moderate,0,Oblong,0,0,0,0,2,0,Square,0,0,0,Hollow with Raised,1,14-Sep-16,hrkark,4,5,6,6,3,High,Medium,No Dectectable Firmness,Good,," smooth texture, mod tangy flavour with a hint of kawakawa leaf. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K10.01-01-10d,EP,ZI83,ZG_EP,Green,Commercial,Culled,79,4,14/06/2016,1609527,2,48,7,,,,,80.42,66,Fruit Weight (g),Keep,85.84,Destructive,7.07,17.87,,,,12/09/2016,14,Oblong,YES,0.59,15.58,8/09/2016,12,0.97,,,,Finished,15.58,15.22,15.94,32.76,112.39,52.99,14,0.59,0,51.28,46.81,0.91,56.18,No Cavity,Light Green,No Dectectable Firmness,4,Slightly Oblate,Easy,Slightly Raised,Oblong,0,0,0,0,5,Square,Square,hairy,4,1,Very Hollow with Raised,1,12-Sep-16,hrtsjm,5.5,6,5,4,2,Medium,Medium,No Dectectable Firmness,Slightly over-ripe,,"Musty sweet grape, mushy text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
